Model,RMSE,MAE,R²
Linear Regression,9.212454540920373,6.069567262293918,0.9984885805537681
Decision Tree,11.370329321177577,7.681063528472796,0.997697602119341
Random Forest,9.715801054203808,6.297642199747584,0.9983189078633489
Gradient Boosting,9.393060944240812,6.076220334333486,0.9984287381347104
XGBoost,10.84422985216777,6.895906467374376,0.9979057345963936
SVR,258.86198158501975,194.18533393099148,-0.19335823036754496
MLP Regressor,10.531700643051643,6.599162378681823,0.9980247080124512
LSTM,44.936642477923016,,
