Open,High,Low,Close,Adj Close,Volume,Close
1869.699951171875,1869.699951171875,1869.699951171875,1862.5999755859373,1862.5999755859373,2.0,1862.5999755859373
1302.5999755859375,1302.5999755859375,1302.699951171875,1276.699951171875,1276.699951171875,90.0,1276.699951171875
1754.5999755859375,1754.5999755859375,1792.9000244140625,1743.9000244140625,1792.9000244140625,1645.0,1743.9000244140625
1730.699951171875,1730.699951171875,1752.5999755859375,1718.699951171875,1748.9000244140625,756.0,1718.699951171875
1197.9000244140625,1197.9000244140625,1202.0,1197.9000244140625,1202.0,7.0,1197.9000244140625
1847.699951171875,1847.699951171875,1855.4000244140625,1837.300048828125,1837.300048828125,61.0,1837.300048828125
1265.4000244140625,1265.4000244140625,1291.9000244140625,1265.4000244140625,1291.9000244140625,25.0,1265.4000244140625
1384.0,1384.0,1384.5,1373.9000244140625,1375.4000244140625,13.0,1373.9000244140625
1589.800048828125,1589.800048828125,1592.199951171875,1582.300048828125,1582.300048828125,8.0,1582.300048828125
1333.5999755859375,1333.5999755859375,1333.5999755859375,1321.4000244140625,1321.5999755859375,18.0,1321.4000244140625
1298.300048828125,1298.300048828125,1310.9000244140625,1298.300048828125,1310.9000244140625,181554.0,1298.300048828125
2299.199951171875,2299.199951171875,2324.699951171875,2292.300048828125,2321.699951171875,56.0,2292.300048828125
1894.300048828125,1894.300048828125,1895.4000244140625,1872.4000244140625,1876.5,3283.0,1872.4000244140625
1250.300048828125,1250.300048828125,1257.5,1249.0,1256.0999755859375,169.0,1249.0
1350.199951171875,1350.199951171875,1360.300048828125,1350.699951171875,1360.300048828125,40.0,1350.699951171875
1977.199951171875,1977.199951171875,1978.4000244140625,1963.4000244140625,1968.800048828125,83.0,1963.4000244140625
1722.5,1722.5,1747.0,1720.300048828125,1737.0999755859375,407.0,1720.300048828125
1114.199951171875,1114.199951171875,1119.0,1113.300048828125,1115.199951171875,1181.0,1113.300048828125
1576.800048828125,1576.800048828125,1584.5,1576.800048828125,1584.300048828125,22.0,1576.800048828125
1318.5999755859375,1318.5999755859375,1319.9000244140625,1314.5999755859375,1319.9000244140625,41.0,1314.5999755859375
1556.800048828125,1556.800048828125,1558.300048828125,1542.4000244140625,1555.4000244140625,28.0,1542.4000244140625
1190.5999755859375,1190.5999755859375,1190.5999755859375,1188.0,1188.0,189914.0,1188.0
1318.0999755859375,1318.0999755859375,1318.800048828125,1313.5999755859375,1313.5999755859375,190.0,1313.5999755859375
1426.9000244140625,1426.9000244140625,1432.5999755859375,1424.300048828125,1431.5999755859375,198.0,1424.300048828125
1788.199951171875,1788.199951171875,1792.9000244140625,1784.0,1792.0,812.0,1784.0
1616.0999755859375,1616.0999755859375,1627.800048828125,1616.0999755859375,1622.5,20.0,1616.0999755859375
1136.4000244140625,1136.4000244140625,1136.4000244140625,1121.0,1136.4000244140625,58.0,1121.0
1700.199951171875,1700.199951171875,1717.4000244140625,1700.199951171875,1706.5,521.0,1700.199951171875
2398.39990234375,2398.39990234375,2399.800048828125,2377.300048828125,2379.300048828125,160.0,2377.300048828125
1781.4000244140625,1781.4000244140625,1799.0,1774.699951171875,1799.0,64.0,1774.699951171875
1219.0,1219.0,1228.800048828125,1219.0,1225.300048828125,12.0,1219.0
1810.9000244140625,1810.9000244140625,1824.0,1810.9000244140625,1812.9000244140625,128.0,1810.9000244140625
1790.699951171875,1790.699951171875,1790.699951171875,1781.699951171875,1781.699951171875,69.0,1781.699951171875
1793.300048828125,1793.300048828125,1793.300048828125,1793.300048828125,1793.300048828125,196036.0,1793.300048828125
1760.800048828125,1760.800048828125,1763.0,1756.0,1763.0,18.0,1756.0
2342.89990234375,2342.89990234375,2349.5,2320.800048828125,2336.89990234375,32587.0,2320.800048828125
1718.9000244140625,1718.9000244140625,1718.9000244140625,1694.5,1694.5,807.0,1694.5
1259.300048828125,1259.300048828125,1259.300048828125,1259.300048828125,1259.300048828125,168825.0,1259.300048828125
1194.4000244140625,1194.4000244140625,1197.0,1186.0999755859375,1187.199951171875,331.0,1186.0999755859375
1272.699951171875,1272.699951171875,1276.0999755859375,1270.4000244140625,1275.0,136.0,1270.4000244140625
2160.39990234375,2160.39990234375,2182.699951171875,2160.39990234375,2182.5,550.0,2160.39990234375
1185.0,1185.0,1191.0,1148.0,1155.199951171875,486.0,1148.0
1175.699951171875,1175.699951171875,1175.699951171875,1175.699951171875,1175.699951171875,177.0,1175.699951171875
1123.5999755859375,1123.5999755859375,1123.5999755859375,1123.5999755859375,1123.5999755859375,17.0,1123.5999755859375
1267.5999755859375,1267.5999755859375,1267.5999755859375,1267.5999755859375,1267.5999755859375,271457.0,1267.5999755859375
1288.9000244140625,1288.9000244140625,1289.4000244140625,1286.9000244140625,1289.4000244140625,250.0,1286.9000244140625
2331.39990234375,2331.39990234375,2331.39990234375,2305.800048828125,2307.0,948.0,2305.800048828125
1344.300048828125,1344.300048828125,1350.5,1343.9000244140625,1348.4000244140625,14.0,1343.9000244140625
1076.699951171875,1076.699951171875,1082.0,1063.0999755859375,1076.699951171875,387.0,1063.0999755859375
1176.199951171875,1176.199951171875,1180.199951171875,1161.4000244140625,1173.199951171875,123.0,1161.4000244140625
1103.5,1103.5,1111.699951171875,1098.199951171875,1110.800048828125,81.0,1098.199951171875
1730.5999755859375,1730.5999755859375,1742.300048828125,1730.5,1742.199951171875,15.0,1730.5
1306.800048828125,1306.800048828125,1307.0,1288.300048828125,1288.300048828125,30.0,1288.300048828125
1648.199951171875,1648.199951171875,1668.0,1643.699951171875,1666.5,868.0,1643.699951171875
